Word(s),Spoken Form (If Different)
under-documented,under documented
admin
Cisco
Citrix
VPN
DNS
regularization
regularize
regularizer
normalizer
syntacticity
Saphra
Annabelle
Carrell
compositionality
Merrill
Yanai Elazar
UK
GP
Kyunghyun Cho
Kyunghyun
Cho
subtweeting
Annabelle Carrell
Adam Lopez
NLP
NYU
systematicity
ensembling
NTK
loss surface
challenge set
reweight
reweighting
Zotero
encode
encoding
CDS
encodings
LSTM
NeurIPS
hypernyms
hypernym
classifier
transferring
convnets
convnet
softmax
scalar
BERT
GPU
CPU
oncologist
decompositional
coreference
Shapley
Westchester
zulip
Dieuwke
covid
substitutivity
Gabrielle
